,count,mean,std,min,25%,50%,75%,max
a,200.0,0.5271510816640055,0.29702941982010544,0.008616665275328561,0.2963459624671994,0.5161408401249299,0.7915780979430836,0.9996592697133289
b,200.0,0.49887242801602694,0.2943229824145409,0.006447580980817769,0.2490918975969958,0.4948497624035835,0.747464746389496,0.9954392574538617
c,200.0,0.45716357941002306,0.2907801144550402,0.00314985206508156,0.21237731224907028,0.4470782449842953,0.7026593900391552,0.999339232617348
d,200.0,0.4752845585115493,0.26912795590019944,0.0004440813252903908,0.2671427279329967,0.4976835668972279,0.6575644948245908,0.9979995496670667
e,200.0,0.5075148260986011,0.3079326403795254,0.010535456542032029,0.24749150218420732,0.498811411206968,0.7903783315479005,0.9981246423150006
f,200.0,0.5283398170336013,0.2934575806873428,0.009852115441080223,0.2627140886629884,0.5354709230045607,0.7835253869733372,0.9998598037614389
g,200.0,0.5194325017311767,0.28959927149717496,0.00435507536500046,0.28146938342865246,0.5381157308212544,0.7784623773519469,0.9891800506139071
h,200.0,0.4943628024971012,0.28986142504450507,0.003234902371559989,0.24399385486282832,0.5011977816865449,0.7337145027058559,0.9997015195922369
i,200.0,0.4647350218015204,0.2984740119527962,0.0010161949277395221,0.19975623234293474,0.41100692525429944,0.7156220701691351,0.9981896209604899
j,200.0,0.5289409804938512,0.30274491242721147,0.00287666595326197,0.2613148756821064,0.5913318124839377,0.7865982769285471,0.9980378451241247
k,200.0,0.5147583420076601,0.2785293398232088,0.004462926062464345,0.27726337675940044,0.5314584067736629,0.7452930160540913,0.9931690865692389
l,200.0,0.5459035372241953,0.27153853808713413,0.002461644366271276,0.3411603758950287,0.5609060863303145,0.7695971551314817,0.9900526942541221
m,200.0,0.5172860534607557,0.28637875262462653,0.00990267916156562,0.2930856954053441,0.5145996680319205,0.7601096065444902,0.9993372612051958
n,200.0,0.4720762645100595,0.29214642362893234,0.0034095481976450515,0.23545589789334798,0.4731868286620347,0.706984749227328,0.995060719258496
o,200.0,0.5291034869513611,0.27676278427667433,0.0002865939302972853,0.29874168822577335,0.536565813631156,0.768714422492226,0.9874873802345357
p,200.0,0.4841158182070376,0.2825505023935283,0.0030428451969194414,0.26080086765364685,0.5092407336235155,0.7201745006452539,0.9888786486979487
q,200.0,0.47801199343934286,0.28189721058038814,0.009121754296076534,0.22662942786204426,0.46985622735042143,0.7042654489734679,0.9995802242815639
r,200.0,0.5122079194617019,0.2913841180002912,0.0023710621607427873,0.2750992894282823,0.4960792525359192,0.7582497723956916,0.9995189092472143
s,200.0,0.4437203798008127,0.2884427597062857,0.001880944568376286,0.1707059881147445,0.43073157116500266,0.6780441689731742,0.9971851245517791
t,200.0,0.45435174296968206,0.3061303153681617,0.0011366353518577066,0.18641655468239474,0.4028547268364395,0.7504523146365737,0.9990444858884961
u,200.0,0.48027457485261366,0.2852584087378899,0.006631402822852017,0.22479641547889986,0.49637195857431576,0.6951758609077993,0.9991697833744448
v,200.0,0.49190608295313076,0.282278533792208,0.0019351991794300805,0.25008197267145654,0.4809779375666214,0.7536034273069409,0.9880588453275673
w,200.0,0.5171361719987163,0.28902935374455685,0.0027427109643360925,0.26556435157156183,0.5391538452010671,0.7587492919528684,0.9983685187467773
x,200.0,0.523641845340105,0.272930951128788,0.0037685607249545727,0.31220075985099194,0.5367053032555058,0.7316814613657745,0.999220412202047
y,200.0,0.47702250570820515,0.28138491621373946,0.0021663667109284024,0.23370024611687457,0.47756048572656556,0.6765460511509289,0.9998063893489807
